行业代码,行业名称,成分股数量,成分股
URFI881162,通信服务,44,"USZA000815,USZA000839,USZA000889,USZA002093,USZA002115,USZA002123,USZA002148,USZA002289,USZA002467,USZA002544,USZA002929,USZA300025,USZA300050,USZA300081,USZA300113,USZA300292,USZA300310,USZA300383,USZA300442,USZA300513,USZA300560,USZA300571,USZA300578,USZA300597,USZA300603,USZA300738,USZA300846,USZA300895,USZA300921,USZA300959,USZA301139,USZA301380,USZA301382,USZA301428,USHA600050,USHT600289,USHA600941,USHA601728,USHA603206,USHA603220,USHA603559,USHA603881,USHA603887,USTM920924"
URFI881129,通信设备,91,"USZA000063,USZA000070,USZA000586,USZA001267,USZA002017,USZA002104,USZA002194,USZA002281,USZA002296,USZA002313,USZA002396,USZA002491,USZA002547,USZA002583,USZA002792,USZA002796,USZA002881,USZA002897,USZA002902,USZA003031,USZA003040,USZA300098,USZA300134,USZA300183,USZA300205,USZA300213,USZA300308,USZA300353,USZA300394,USZA300414,USZA300502,USZA300504,USZA300548,USZA300555,USZA300563,USZA300565,USZA300570,USZA300590,USZA300615,USZA300620,USZA300627,USZA300628,USZA300638,USZA300689,USZA300698,USZA300710,USZA300711,USZA300913,USZA301165,USZA301191,USZA301202,USZA301205,USZA301307,USZA301314,USZA301419,USZA301486,USZA301577,USHA600105,USHA600345,USHA600487,USHA600498,USHA600522,USHA600775,USHA600776,USHA601869,USHA603042,USHA603083,USHA603118,USHA603236,USHA603421,USHA603803,USHA688027,USHA688080,USHA688100,USHA688143,USHA688159,USHA688182,USHA688205,USHA688283,USHA688292,USHA688313,USHA688387,USHA688418,USHA688592,USHA688618,USHA688635,USHA688668,USTM920045,USTM920249,USTM920374,USTM920640"
URFI881117,通用设备,254,"USZA000039,USZA000410,USZA000530,USZA000570,USZA000777,USZA000811,USZA000837,USZA000880,USZA001237,USZA001306,USZA001379,USZA001696,USZA002026,USZA002046,USZA002122,USZA002131,USZA002132,USZA002158,USZA002164,USZA002175,USZA002248,USZA002272,USZA002282,USZA002342,USZA002347,USZA002438,USZA002444,USZA002445,USZA002514,USZA002520,USZA002530,USZA002559,USZA002598,USZA002633,USZA002639,USZA002686,USZA002760,USZA002767,USZA002795,USZA002819,USZA002843,USZA002849,USZA002871,USZA002877,USZA002884,USZA002896,USZA002903,USZA002931,USZA002943,USZA003025,USZA300007,USZA300066,USZA300083,USZA300091,USZA300112,USZA300126,USZA300145,USZA300154,USZA300157,USZA300161,USZA300165,USZA300179,USZA300193,USZA300203,USZA300211,USZA300228,USZA300257,USZA300259,USZA300263,USZA300306,USZA300349,USZA300354,USZA300370,USZA300371,USZA300402,USZA300417,USZA300420,USZA300421,USZA300441,USZA300445,USZA300466,USZA300470,USZA300488,USZA300503,USZA300515,USZA300553,USZA300554,USZA300557,USZA300567,USZA300572,USZA300606,USZA300667,USZA300700,USZA300718,USZA300720,USZA300780,USZA300809,USZA300817,USZA300828,USZA300838,USZA300861,USZA300885,USZA300897,USZA300943,USZA300946,USZA300984,USZA300985,USZA300990,USZA300992,USZA301006,USZA301018,USZA301028,USZA301032,USZA301043,USZA301070,USZA301083,USZA301107,USZA301125,USZA301129,USZA301137,USZA301151,USZA301160,USZA301197,USZA301226,USZA301252,USZA301255,USZA301261,USZA301268,USZA301272,USZA301273,USZA301303,USZA301309,USZA301311,USZA301317,USZA301353,USZA301368,USZA301377,USZA301399,USZA301413,USZA301448,USZA301525,USZA301528,USZA301548,USZA301559,USZA301596,USZA301603,USZA301616,USZA301677,USZA301689,USHA600114,USHA600172,USHA600202,USHT600243,USHA600343,USHA600558,USHA600592,USHA600860,USHT600889,USHA600992,USHA601002,USHA601177,USHA601882,USHA603028,USHA603082,USHA603088,USHA603090,USHA603100,USHA603131,USHA603187,USHA603201,USHA603269,USHA603270,USHA603277,USHA603278,USHA603279,USHA603308,USHA603331,USHA603339,USHA603400,USHA603617,USHA603662,USHA603667,USHA603699,USHA603700,USHA603757,USHA603912,USHA603915,USHA603969,USHA605056,USHA605060,USHA605100,USHA688028,USHA688056,USHA688059,USHA688112,USHA688115,USHA688211,USHA688251,USHA688257,USHA688305,USHA688308,USHA688333,USHA688337,USHA688355,USHA688360,USHA688379,USHA688433,USHA688448,USHA688455,USHA688528,USHA688539,USHA688557,USHA688558,USHA688577,USHA688583,USHA688600,USHA688610,USHT688622,USHA688628,USHA688648,USHA688665,USHA688697,USHA688768,USHA688808,USHA688828,USTM920035,USTM920082,USTM920169,USTM920223,USTM920238,USTM920363,USTM920407,USTM920455,USTM920476,USTM920491,USTM920505,USTM920509,USTM920510,USTM920570,USTM920651,USTM920662,USTM920679,USTM920685,USTM920689,USTM920693,USTM920725,USTM920807,USTM920833,USTM920855,USTM920870,USTM920879,USTM920943,USTM920950,USTM920961"
URFI881164,文化传媒,85,"USZA000156,USZA000607,USZA000665,USZA000676,USZA000681,USZA000719,USZA000793,USZA000917,USZA002027,USZA002095,USZA002181,USZA002238,USZA002264,USZA002291,USZA002354,USZA002400,USZA002712,USZA002878,USZA002995,USZA300058,USZA300061,USZA300063,USZA300071,USZA300148,USZA300242,USZA300295,USZA300364,USZA300413,USZA300418,USZA300612,USZA300654,USZA300770,USZA300781,USZA300785,USZA300788,USZA300805,USZA300987,USZA301025,USZA301052,USZA301102,USZA301171,USZA301231,USZA301262,USZA301299,USZA301313,USZA301551,USHA600037,USHA600228,USHA600229,USHA600373,USHA600551,USHA600556,USHA600637,USHA600640,USHA600757,USHA600825,USHA600831,USHA600959,USHA600986,USHA600996,USHA601019,USHA601098,USHA601801,USHA601811,USHA601858,USHA601900,USHA601921,USHA601928,USHA601929,USHA601949,USHA601999,USHA603000,USHA603096,USHA603230,USHA603466,USHA603533,USHA603598,USHA603602,USHT603729,USHT603825,USHA603888,USHA603999,USHA605168,USHA605577,USTM920021"
URFI881152,物流,50,"USZA000906,USZA000927,USZA001202,USZA001220,USZA001228,USZA001317,USZA001391,USZA002010,USZA002120,USZA002352,USZA002468,USZA002485,USZA002492,USZA002682,USZA002769,USZA002800,USZA002889,USZA002930,USZA300013,USZA300240,USZA300350,USZA300873,USHA600057,USHT600119,USHA600153,USHT600180,USHA600233,USHA600603,USHA600704,USHT600753,USHA600755,USHA600787,USHA600794,USHA601156,USHA601598,USHA603006,USHA603066,USHA603117,USHA603128,USHA603329,USHA603535,USHA603569,USHA603648,USHA603713,USHA603813,USHA603836,USHA603871,USHA603967,USHA605050,USTM920351"
URFI881266,橡胶制品,22,"USZA001207,USZA001325,USZA002068,USZA002224,USZA002381,USZA002442,USZA002753,USZA300121,USZA300320,USZA300587,USZA300731,USZA300767,USZA301300,USHA603033,USHA603650,USHA605183,USTM920098,USTM920188,USTM920225,USTM920665,USTM920694,USTM920834"
URFI881124,消费电子,96,"USZA000021,USZA001314,USZA002045,USZA002055,USZA002139,USZA002241,USZA002351,USZA002369,USZA002426,USZA002475,USZA002600,USZA002635,USZA002655,USZA002660,USZA002681,USZA002841,USZA002855,USZA002861,USZA002866,USZA002888,USZA002925,USZA002947,USZA002981,USZA002993,USZA003028,USZA300032,USZA300115,USZA300128,USZA300136,USZA300322,USZA300433,USZA300543,USZA300602,USZA300647,USZA300679,USZA300686,USZA300709,USZA300735,USZA300784,USZA300787,USZA300793,USZA300812,USZA300822,USZA300843,USZA300866,USZA300868,USZA300916,USZA300951,USZA300956,USZA300968,USZA300976,USZA301051,USZA301067,USZA301086,USZA301123,USZA301180,USZA301182,USZA301189,USZA301285,USZA301326,USZA301329,USZA301383,USZA301387,USZA301389,USZA301491,USZA301567,USZA301606,USZA301626,USHA600130,USHA600203,USHA600363,USHA601138,USHA601231,USHA603052,USHA603296,USHA603327,USHA603341,USHA603380,USHT603595,USHA603626,USHA603890,USHA605277,USHA688007,USHA688036,USHA688210,USHA688260,USHA688678,USHA688775,USTM920005,USTM920183,USTM920267,USTM920346,USTM920357,USTM920701,USTM920857,USTM920876"
URFI881173,小家电,26,"USZA001259,USZA002005,USZA002032,USZA002242,USZA002403,USZA002614,USZA002705,USZA002959,USZA003023,USZA300247,USZA300272,USZA300824,USZA301187,USZA301332,USHA603215,USHA603219,USHA603355,USHA603486,USHA603579,USHA603868,USHA605555,USHA688169,USHA688793,USTM920081,USTM920199,USTM920926"
URFI881170,小金属,30,"USZA000657,USZA000688,USZA000831,USZA000960,USZA000962,USZA001257,USZA001280,USZA002149,USZA002167,USZA002182,USZA002378,USZA002428,USZA002738,USZA002842,USZA002978,USZA300328,USZA301026,USHA600111,USHA600259,USHA600281,USHA600301,USHA600392,USHA600456,USHA600459,USHA600549,USHA601958,USHA603407,USHA688750,USTM920068,USTM920071"
URFI881102,养殖业,36,"USZA000048,USZA000735,USZA000798,USZA001201,USZA002069,USZA002124,USZA002157,USZA002234,USZA002299,USZA002321,USZA002458,USZA002688,USZA002714,USZA002746,USZA002868,USZA002982,USZA300094,USZA300119,USZA300313,USZA300498,USZA300761,USZA300871,USZA300967,USHA600097,USHA600195,USHA600201,USHA600467,USHT600965,USHA600975,USHA603477,USHA603566,USHA603717,USHA605296,USHA688098,USHA688526,USTM920729"
URFI881175,医疗服务,56,"USZA000504,USZA000516,USZA000710,USZA002044,USZA002172,USZA002173,USZA002219,USZA002524,USZA002622,USZA002821,USZA300015,USZA300143,USZA300149,USZA300244,USZA300347,USZA300363,USZA300404,USZA300676,USZA300683,USZA300725,USZA300759,USZA301060,USZA301096,USZA301103,USZA301201,USZA301230,USZA301235,USZA301239,USZA301257,USZA301267,USZA301293,USZA301333,USZA301509,USZA301520,USHA600257,USHA600327,USHT600568,USHA600721,USHA600763,USHA603127,USHA603259,USHA603456,USHA603882,USHA688046,USHA688073,USHA688131,USHA688202,USHA688222,USHA688238,USHA688265,USHA688293,USHA688315,USHA688621,USHA688710,USHA688796,USTM920670"
URFI881144,医疗器械,142,"USZA002022,USZA002030,USZA002223,USZA002382,USZA002432,USZA002551,USZA002817,USZA002901,USZA002932,USZA002950,USZA300003,USZA300030,USZA300049,USZA300171,USZA300206,USZA300238,USZA300246,USZA300289,USZA300298,USZA300314,USZA300326,USZA300341,USZA300358,USZA300396,USZA300406,USZA300430,USZA300439,USZA300453,USZA300463,USZA300482,USZA300529,USZA300562,USZA300595,USZA300633,USZA300639,USZA300642,USZA300653,USZA300677,USZA300685,USZA300753,USZA300760,USZA300832,USZA300869,USZA300942,USZA300981,USZA301033,USZA301087,USZA301093,USZA301097,USZA301122,USZA301188,USZA301234,USZA301290,USZA301363,USZA301367,USZA301515,USZA301580,USZA301602,USHA600055,USHA600529,USHA600538,USHA600587,USHA600645,USHA600807,USHA603014,USHA603205,USHA603222,USHA603301,USHA603309,USHA603387,USHA603392,USHA603658,USHT603718,USHA603880,USHA603976,USHA603987,USHA605369,USHA688013,USHA688016,USHA688026,USHA688029,USHA688050,USHA688067,USHA688068,USHA688075,USHA688085,USHA688108,USHA688114,USHA688139,USHA688151,USHA688161,USHA688193,USHA688198,USHA688212,USHA688217,USHA688236,USHA688253,USHA688271,USHA688273,USHA688277,USHA688289,USHA688298,USHA688301,USHA688314,USHA688317,USHA688338,USHA688351,USHA688358,USHA688366,USHA688389,USHA688393,USHA688399,USHA688410,USHA688426,USHA688468,USHA688575,USHA688576,USHA688580,USHA688581,USHA688606,USHA688607,USHA688613,USHA688617,USHA688626,USHA688656,USHA688677,USHA688712,USHA688767,USHA688805,USTM920009,USTM920050,USTM920069,USTM920072,USTM920166,USTM920180,USTM920201,USTM920268,USTM920278,USTM920300,USTM920504,USTM920925,USTM920992"
URFI881143,医药商业,32,"USZA000028,USZA000078,USZA000411,USZA000705,USZA000950,USZA002462,USZA002589,USZA002727,USZA002788,USZA300937,USZA301015,USZA301017,USZA301126,USZA301370,USZA301408,USZA301584,USHA600056,USHA600272,USHA600511,USHA600713,USHA600829,USHA600833,USHA600998,USHA601607,USHA603108,USHA603122,USHA603233,USHA603368,USHA603716,USHA603883,USHA603939,USHA605266"
URFI881155,银行,42,"USZA000001,USZA001227,USZA002142,USZA002807,USZA002839,USZA002936,USZA002948,USZA002958,USZA002966,USHA600000,USHA600015,USHA600016,USHA600036,USHA600908,USHA600919,USHA600926,USHA600928,USHA601009,USHA601077,USHA601128,USHA601166,USHA601169,USHA601187,USHA601229,USHA601288,USHA601328,USHA601398,USHA601528,USHA601577,USHA601658,USHA601665,USHA601818,USHA601825,USHA601838,USHA601860,USHA601916,USHA601939,USHA601963,USHA601988,USHA601997,USHA601998,USHA603323"
URFI881133,饮料制造,47,"USZA000523,USZA000729,USZA000752,USZA000848,USZA000869,USZA000929,USZA001318,USZA002329,USZA002461,USZA002568,USZA002570,USZA002732,USZA002910,USZA002946,USZA300106,USZA300892,USZA300898,USZA300915,USZA300997,USHA600059,USHT600084,USHA600132,USHA600189,USHT600238,USHA600300,USHA600358,USHA600419,USHA600429,USHT600543,USHA600573,USHA600597,USHA600600,USHA600616,USHA600882,USHA600887,USHA600962,USHA601579,USHA603156,USHA603711,USHA603779,USHA605179,USHA605198,USHA605300,USHA605337,USHA605388,USHA605499,USTM920786"
URFI881274,影视院线,20,"USZA000802,USZA000892,USZA001330,USZA002292,USZA002343,USZA002739,USZA002905,USZA300027,USZA300133,USZA300182,USZA300251,USZA300291,USZA300426,USZA300528,USHA600088,USHA600715,USHA600977,USHA601595,USHA603103,USHA603721"
URFI881107,油气开采及服务,19,"USZA000968,USZA002207,USZA002554,USZA002828,USZA300164,USZA300191,USZA300483,USHA600339,USHA600583,USHT600759,USHA600777,USHA600871,USHA600938,USHA600968,USHA601808,USHA603393,USHA603619,USHA603727,USTM920088"
URFI881275,游戏,23,"USZA002174,USZA002425,USZA002517,USZA002555,USZA002558,USZA002602,USZA002605,USZA002624,USZA002919,USZA300002,USZA300031,USZA300043,USZA300052,USZA300299,USZA300315,USZA300459,USZA300467,USZA300494,USZA300533,USHA600633,USHA600892,USHA603258,USHA603444"
URFI881270,元件,63,"USZA000636,USZA000823,USZA001232,USZA001389,USZA002134,USZA002138,USZA002141,USZA002199,USZA002384,USZA002436,USZA002463,USZA002484,USZA002552,USZA002579,USZA002636,USZA002815,USZA002913,USZA002916,USZA002938,USZA300319,USZA300408,USZA300460,USZA300476,USZA300657,USZA300739,USZA300814,USZA300852,USZA300903,USZA300936,USZA300964,USZA301041,USZA301132,USZA301176,USZA301251,USZA301282,USZA301366,USZA301458,USZA301566,USZA301628,USHA600183,USHA600237,USHA600563,USHA600601,USHA603175,USHA603186,USHA603228,USHA603328,USHA603386,USHA603459,USHA603738,USHA603920,USHA603936,USHA603989,USHA605058,USHA605258,USHA688183,USHA688519,USHA688655,USTM920060,USTM920128,USTM920641,USTM920821,USTM920981"
URFI881137,造纸,24,"USZA000488,USZA002012,USZA002067,USZA002078,USZA002235,USZA002521,USZA301469,USHA600103,USHA600235,USHA600308,USHA600356,USHA600433,USHA600567,USHA600793,USHA600963,USHA600966,USHA603165,USHA603284,USHA603733,USHA603863,USHA605007,USHA605377,USHA605500,USTM920394"
URFI881157,证券,50,"USZA000166,USZA000686,USZA000712,USZA000728,USZA000750,USZA000776,USZA000783,USZA002500,USZA002670,USZA002673,USZA002736,USZA002797,USZA002926,USZA002939,USZA002945,USZA300059,USHA600030,USHA600061,USHA600095,USHA600109,USHA600155,USHA600369,USHA600621,USHA600864,USHA600906,USHA600909,USHA600918,USHA600958,USHA600999,USHA601059,USHA601066,USHA601099,USHA601108,USHA601136,USHA601162,USHA601198,USHA601211,USHA601236,USHA601375,USHA601377,USHA601456,USHA601555,USHA601688,USHA601696,USHA601788,USHA601878,USHA601881,USHA601901,USHA601990,USHA601995"
URFI881141,中药,68,"USZA000423,USZA000538,USZA000590,USZA000623,USZA000650,USZA000790,USZA000989,USZA000999,USZA002082,USZA002107,USZA002198,USZA002275,USZA002287,USZA002317,USZA002349,USZA002390,USZA002412,USZA002424,USZA002566,USZA002603,USZA002644,USZA002728,USZA002737,USZA002864,USZA002873,USZA002907,USZA300026,USZA300039,USZA300147,USZA300158,USZA300181,USZA300519,USZA300534,USZA300878,USZA301111,USZA301331,USHT600080,USHA600085,USHA600129,USHA600222,USHA600252,USHA600285,USHA600329,USHA600332,USHA600351,USHA600422,USHA600436,USHA600479,USHA600518,USHA600535,USHA600557,USHA600566,USHA600572,USHA600594,USHA600671,USHA600750,USHA600771,USHA600976,USHA600993,USHA603139,USHA603439,USHA603567,USHA603858,USHA603896,USHA603998,USHT605199,USTM920266,USTM920433"
URFI881118,专用设备,204,"USZA000852,USZA000856,USZA001225,USZA001256,USZA001277,USZA001288,USZA001332,USZA001360,USZA001395,USZA001400,USZA002006,USZA002009,USZA002021,USZA002031,USZA002073,USZA002204,USZA002209,USZA002278,USZA002337,USZA002353,USZA002367,USZA002483,USZA002490,USZA002523,USZA002526,USZA002529,USZA002535,USZA002564,USZA002595,USZA002611,USZA002613,USZA002689,USZA002690,USZA002691,USZA002722,USZA002730,USZA002757,USZA002774,USZA002779,USZA002786,USZA002816,USZA002833,USZA002837,USZA002890,USZA002960,USZA003036,USZA300004,USZA300084,USZA300092,USZA300095,USZA300099,USZA300103,USZA300151,USZA300159,USZA300195,USZA300210,USZA300275,USZA300281,USZA300293,USZA300307,USZA300382,USZA300411,USZA300412,USZA300415,USZA300435,USZA300471,USZA300472,USZA300480,USZA300499,USZA300509,USZA300512,USZA300521,USZA300540,USZA300549,USZA300669,USZA300756,USZA300813,USZA300818,USZA300823,USZA300833,USZA300836,USZA300837,USZA300865,USZA300879,USZA300902,USZA300931,USZA300950,USZA300971,USZA300988,USZA301013,USZA301053,USZA301056,USZA301063,USZA301105,USZA301128,USZA301138,USZA301158,USZA301260,USZA301338,USZA301392,USZA301468,USZA301533,USZA301598,USZA301601,USHT600169,USHA600262,USHT600302,USHA600320,USHA600397,USHA600444,USHA600501,USHA600520,USHA600545,USHA600560,USHA600579,USHA600582,USHA600615,USHA600835,USHA600843,USHA600894,USHA600980,USHA601038,USHA601091,USHA601106,USHA601369,USHA601399,USHA601608,USHA601717,USHA601798,USHA603011,USHA603012,USHA603029,USHA603036,USHA603076,USHA603081,USHA603095,USHA603135,USHA603159,USHA603169,USHA603173,USHA603289,USHA603321,USHA603325,USHA603337,USHA603356,USHA603391,USHA603656,USHA603698,USHT603789,USHA603800,USHA603855,USHA603895,USHA603901,USHA603956,USHA603966,USHA605259,USHA605286,USHA688001,USHT688022,USHA688071,USHA688092,USHA688113,USHT688121,USHA688128,USHA688162,USHA688377,USHA688383,USHA688419,USHA688420,USHA688529,USHA688531,USHA688596,USHA688627,USHA688630,USHA688633,USHA688700,USHA688755,USHA688789,USHA688813,USTM920014,USTM920025,USTM920026,USTM920061,USTM920080,USTM920091,USTM920093,USTM920112,USTM920126,USTM920156,USTM920158,USTM920177,USTM920229,USTM920284,USTM920298,USTM920475,USTM920553,USTM920608,USTM920703,USTM920717,USTM920781,USTM920810,USTM920856,USTM920895,USTM920931"
URFI881171,自动化设备,99,"USZA000988,USZA001223,USZA001266,USZA002008,USZA002184,USZA002334,USZA002527,USZA002698,USZA002747,USZA002957,USZA002975,USZA002979,USZA300024,USZA300048,USZA300097,USZA300124,USZA300220,USZA300227,USZA300276,USZA300278,USZA300400,USZA300461,USZA300484,USZA300486,USZA300607,USZA300747,USZA300757,USZA300802,USZA300853,USZA301021,USZA301029,USZA301112,USZA301199,USZA301200,USZA301312,USZA301320,USZA301360,USZA301418,USZA301510,USZA301512,USZA301568,USZA301633,USHA600215,USHA603015,USHA603025,USHA603203,USHA603275,USHA603283,USHA603416,USHA603583,USHA603666,USHA603933,USHA605186,USHA605288,USHA688003,USHA688017,USHA688025,USHA688090,USHA688097,USHA688125,USHA688160,USHA688165,USHA688170,USHA688188,USHA688215,USHA688218,USHA688255,USHA688290,USHA688306,USHA688310,USHA688312,USHA688320,USHA688329,USHA688395,USHA688400,USHA688518,USHA688559,USHA688570,USHA688623,USHA688646,USHA688686,USHA688698,USHA688777,USHA688816,USHA688826,USHA688835,USHA688836,USTM920096,USTM920125,USTM920178,USTM920211,USTM920260,USTM920396,USTM920405,USTM920425,USTM920578,USTM920579,USTM920593,USTM920885"
URFI881165,综合,18,"USZA000025,USZA000421,USZA000632,USZA000652,USZA000753,USZA002316,USZA002420,USZA002575,USHA600051,USHA600089,USHA600458,USHA600620,USHA600673,USHA600682,USHA600689,USHA600770,USHA600805,USHA600881"
