行业代码,行业名称,成分股数量,成分股
URFI881112,钢铁,44,"USZA000629,USZA000655,USZA000708,USZA000709,USZA000717,USZA000761,USZA000778,USZA000825,USZA000898,USZA000923,USZA000932,USZA000959,USZA001203,USZA002075,USZA002110,USZA002318,USZA002443,USZA002478,USZA300881,USHA600010,USHA600019,USHA600022,USHA600117,USHA600126,USHA600231,USHA600282,USHA600295,USHA600307,USHA600382,USHA600399,USHA600507,USHA600516,USHA600569,USHT600581,USHA600782,USHA600808,USHA601003,USHA601005,USHA601121,USHA601123,USHA601686,USHA601969,USHA603878,USHA603995"
URFI881148,港口航运,36,"USZA000088,USZA000507,USZA000520,USZA000582,USZA000905,USZA001205,USZA001872,USZA002040,USZA002320,USHA600017,USHA600018,USHA600026,USHA600179,USHA600279,USHA600428,USHA600717,USHA600751,USHA600798,USHA601000,USHA601008,USHA601018,USHA601022,USHA601083,USHA601228,USHA601298,USHA601326,USHA601866,USHA601872,USHA601880,USHA601919,USHA601975,USHA603162,USHA603167,USHA603209,USHA603565,USTM920571"
URFI881268,工程机械,36,"USZA000157,USZA000425,USZA000528,USZA000680,USZA001226,USZA001239,USZA002097,USZA002685,USZA300201,USZA301079,USZA301161,USZA301279,USZA301446,USHA600031,USHA600761,USHA600815,USHA600984,USHA601100,USHA603194,USHA603273,USHA603280,USHA603298,USHA603338,USHA603611,USHA603638,USHA605305,USHA605389,USHA688425,USTM920002,USTM920101,USTM920174,USTM920245,USTM920599,USTM920706,USTM920839,USTM920942"
URFI881168,工业金属,55,"USZA000060,USZA000603,USZA000612,USZA000630,USZA000737,USZA000751,USZA000758,USZA000807,USZA000816,USZA000878,USZA000933,USZA002114,USZA002160,USZA002171,USZA002203,USZA002295,USZA002379,USZA002501,USZA002532,USZA002540,USZA002578,USZA002824,USZA002988,USZA002996,USZA003038,USZA300057,USZA300337,USZA300697,USHA600219,USHA600338,USHA600361,USHA600362,USHA600490,USHA600497,USHA600531,USHA600595,USHA600711,USHA600888,USHA601020,USHA601168,USHA601212,USHA601388,USHA601600,USHA601609,USHA601677,USHA601702,USHA603132,USHA603271,USHA603527,USHA603876,USHA603937,USHA603979,USHA603993,USHA605208,USTM920634"
URFI881149,公路铁路运输,32,"USZA000429,USZA000548,USZA000557,USZA000755,USZA000828,USZA000886,USZA000900,USZA001213,USZA001965,USZA002357,USHA600012,USHA600020,USHA600033,USHA600035,USHA600106,USHA600125,USHA600269,USHA600350,USHA600368,USHA600377,USHA600548,USHA600561,USHA600611,USHA600650,USHA600834,USHA601006,USHA601107,USHA601188,USHA601333,USHA601518,USHA601816,USHA603069"
URFI881279,光伏设备,73,"USZA000159,USZA000821,USZA001269,USZA002056,USZA002079,USZA002129,USZA002150,USZA002459,USZA002506,USZA002513,USZA002623,USZA002865,USZA003022,USZA300051,USZA300080,USZA300093,USZA300118,USZA300274,USZA300316,USZA300345,USZA300393,USZA300716,USZA300724,USZA300751,USZA300763,USZA300776,USZA300827,USZA300842,USZA301168,USZA301266,USZA301278,USZA301636,USZA301658,USZA301697,USHA600207,USHA600438,USHA600481,USHT600537,USHA600732,USHA600876,USHA601012,USHA601865,USHA603185,USHA603212,USHA603381,USHA603396,USHT603398,USHA603628,USHA603778,USHA603806,USHA605117,USHA688032,USHT688033,USHA688223,USHA688303,USHA688348,USHA688390,USHA688408,USHA688429,USHA688472,USHA688503,USHA688516,USHA688556,USHA688560,USHA688599,USHA688680,USHA688717,USHA688726,USTM920007,USTM920167,USTM920368,USTM920414,USTM920985"
URFI881122,光学光电子,107,"USZA000020,USZA000045,USZA000050,USZA000100,USZA000509,USZA000536,USZA000541,USZA000725,USZA000727,USZA001308,USZA001326,USZA001373,USZA001399,USZA002036,USZA002076,USZA002106,USZA002137,USZA002217,USZA002222,USZA002273,USZA002387,USZA002449,USZA002456,USZA002587,USZA002638,USZA002654,USZA002723,USZA002724,USZA002745,USZA002845,USZA002876,USZA002952,USZA002955,USZA002962,USZA002983,USZA002992,USZA003015,USZA003019,USZA300076,USZA300088,USZA300102,USZA300120,USZA300162,USZA300219,USZA300232,USZA300241,USZA300269,USZA300296,USZA300301,USZA300303,USZA300323,USZA300331,USZA300389,USZA300489,USZA300545,USZA300566,USZA300582,USZA300625,USZA300632,USZA300701,USZA300708,USZA300752,USZA300808,USZA300889,USZA300909,USZA300939,USZA300940,USZA301002,USZA301045,USZA301106,USZA301183,USZA301321,USZA301362,USZA301379,USZA301421,USZA301479,USHA600071,USHA600261,USHA600552,USHA600703,USHA600707,USHA603297,USHA603303,USHA603515,USHA603679,USHA603685,USHA603703,USHA603773,USHA605218,USHA605365,USHA605588,USHA688010,USHA688055,USHA688079,USHA688127,USHA688181,USHA688195,USHA688299,USHA688307,USHA688322,USHT688496,USHA688502,USHA688538,USHA688781,USTM920001,USTM920339,USTM920438"
URFI881269,轨交设备,30,"USZA000008,USZA000925,USZA001324,USZA002972,USZA300011,USZA300351,USZA300594,USZA300851,USZA300906,USZA300923,USZA300960,USZA301016,USZA301048,USHA600495,USHA600528,USHA601766,USHA603111,USHA603500,USHA603680,USHA605001,USHA605298,USHA688009,USHA688015,USHA688187,USHA688285,USHA688367,USHA688459,USHA688569,USTM920027,USTM920541"
URFI881169,贵金属,14,"USZA000426,USZA000506,USZA000975,USZA001337,USZA002155,USZA002237,USZA002716,USZA300139,USHA600489,USHA600547,USHA600961,USHA600988,USHA601069,USHA601899"
URFI881139,家居用品,98,"USZA000910,USZA001211,USZA001216,USZA001221,USZA001222,USZA001238,USZA001300,USZA001322,USZA001323,USZA001356,USZA001368,USZA001386,USZA002084,USZA002094,USZA002103,USZA002162,USZA002301,USZA002348,USZA002489,USZA002571,USZA002572,USZA002615,USZA002631,USZA002678,USZA002790,USZA002798,USZA002853,USZA002862,USZA002899,USZA002918,USZA003011,USZA003012,USZA300163,USZA300329,USZA300616,USZA300640,USZA300651,USZA300703,USZA300729,USZA300749,USZA300993,USZA301004,USZA301011,USZA301055,USZA301061,USZA301101,USZA301113,USZA301193,USZA301227,USZA301287,USZA301335,USZA301336,USZA301356,USZA301376,USZA301501,USZA301575,USHT600337,USHA600499,USHT603008,USHT603021,USHA603091,USHA603180,USHA603195,USHA603208,USHA603216,USHA603221,USHA603226,USHT603272,USHA603313,USHA603326,USHA603385,USHA603389,USHA603408,USHA603600,USHA603610,USHA603615,USHA603661,USHA603709,USHA603725,USHA603801,USHA603816,USHA603818,USHA603833,USHT603838,USHA603848,USHA603898,USHA603899,USHA603992,USHA605080,USHA605099,USHA605155,USHA605268,USHA605299,USHA688087,USTM920132,USTM920218,USTM920445,USTM920765"
